,GWP100 const,GWP100 BAU,ERF const,ERF BAU,GWP100 const 2,GWP100 BAU 2,ERF const 2,ERF BAU 2,GWP100 const 3,GWP100 BAU 3,ERF const 3,ERF BAU 3
2080,-0.5538090425547082,-2.4212223494000757,-0.6951559286938085,-3.2406768284551255,-0.5509926120952848,-2.007292362457512,-0.6862806101681506,-2.851379107805083,-0.0028164304594233748,-0.41392998694256383,-0.00031555601269304707,-0.43822443630892227
2081,-0.554919715287643,-2.4459076832491737,-0.6862113422773447,-3.2177987710174882,-0.554919715287643,-2.0318413025909186,-0.6810810613807586,-2.832904168603463,-0.0,-0.41406638065825496,0.003270023881174922,-0.43469806287514795
2082,-0.5585860964635,-2.469247864238729,-0.6753105215089856,-3.187171610163622,-0.5585860964635,-2.0550453367341914,-0.673861125578932,-2.806607923365343,-0.0,-0.41420252750453773,0.006801798119915684,-0.4310452014952793
2083,-0.5620028273996286,-2.4913120865247267,-0.6640074408745237,-3.1499265690392635,-0.5620028273996286,-2.0769732865549693,-0.6648412741208118,-2.773484958019504,-0.0,-0.41433879996975753,0.008899209152336825,-0.4273973402854874
2084,-0.5651699080960289,-2.5121003501071657,-0.6521243443852631,-3.106179859638673,-0.5651699080960289,-2.097625152053252,-0.6540107383499005,-2.733661565024121,-0.0,-0.41447519805391386,0.009736326796907602,-0.423739926652232
2085,-0.568094988708223,-2.531664362254473,-0.6387790488502884,-3.057309113374113,-0.568094988708223,-2.117052265856939,-0.6416533079492621,-2.6884129686072074,-0.0,-0.41461209639753444,0.010529119903458787,-0.420178965658953
2086,-0.5708256451002185,-2.550739506349389,-0.6239236003382241,-3.002925084450219,-0.5708256451002185,-2.1357607543090293,-0.6276591998374896,-2.6374711626108223,-0.0,-0.4149787520403597,0.011217197163590665,-0.4165930312160698
2087,-0.5734334242258936,-2.570218676436676,-0.6083427881620066,-2.946739119584754,-0.5734334242258936,-2.154414388044546,-0.6128256061163204,-2.5843016193632544,-0.0,-0.4158042883921304,0.011807960028879605,-0.4133033873554766
2088,-0.5759183260852482,-2.590101872516335,-0.5927601277422129,-2.892297777524976,-0.5759183260852482,-2.173013167063489,-0.5978908514812343,-2.5324221682577663,-0.0,-0.41708870545284593,0.012307401243341854,-0.41047388582057814
2089,-0.5782866531923507,-2.610445230995292,-0.5774742915008237,-2.8410515267378402,-0.5782866531923507,-2.1916078212885997,-0.5831683245245645,-2.483313565057524,-0.0,-0.4188374097066923,0.012728632418414914,-0.408133762590252
2090,-0.58052546386902,-2.6311375859802197,-0.562516494995539,-2.793106367908312,-0.58052546386902,-2.2100967405875003,-0.5686995433710555,-2.4370681532632332,-0.0,-0.42104084539271946,0.013080248939533334,-0.4063019431890469
2091,-0.5826413972793685,-2.6522339669575206,-0.5477220024178243,-2.7476236467670407,-0.5826413972793685,-2.2285308051698287,-0.5543314627536751,-2.3929374183801952,-0.0,-0.423703161787692,0.01337344689334332,-0.40488794742456613
2092,-0.584634453423397,-2.673734373927192,-0.5330227051487338,-2.704209067721728,-0.584634453423397,-2.2469100150355827,-0.5400045105341653,-2.350556801046096,-0.0,-0.42682435889160936,0.013615443167421172,-0.40386239014603054
2093,-0.5865095872926654,-2.6956993740109287,-0.5187106152300901,-2.664102878987177,-0.5865095872926654,-2.2652844985481804,-0.5260124253584725,-2.3110117631047684,-0.0,-0.4304148754627485,0.01380738437092683,-0.40339068041302456
2094,-0.5882565522540084,-2.7180089398858707,-0.5047562917941844,-2.6271134715771183,-0.5882565522540084,-2.283553848693893,-0.5123325208558124,-2.2741417037834286,-0.0,-0.4344550911919776,0.01395491100188788,-0.40345423872731645
2095,-0.5898806399490311,-2.7407225317531827,-0.49180294252433465,-2.596014438585991,-0.5898806399490311,-2.301768344123031,-0.49960220493812735,-2.2423116999979613,-0.0,-0.43895418763015165,0.014053116852396873,-0.40446553217720693
2096,-0.5913818503777329,-2.7638401496128666,-0.4798523887991112,-2.5707079381509175,-0.5913818503777329,-2.3199279848355956,-0.4878282807223354,-2.215406201039977,-0.0,-0.4439121647772709,0.014106024922833563,-0.4064510414144651
2097,-0.5927637910091675,-2.7874267913013835,-0.4687283166954142,-2.5503839014610383,-0.5927637910091675,-2.3380822976356805,-0.4768415764422689,-2.1927235087288146,-0.0,-0.44934449366570284,0.014119903106382458,-0.40930757452515026
2098,-0.5940189102551842,-2.811353568066338,-0.45842724313697825,-2.535045638287734,-0.5940189102551842,-2.356132078628204,-0.46664229677169256,-2.1742575186502977,-0.0,-0.45522148943813384,0.014097628251886096,-0.41304802465243434
2099,-0.5951511522348805,-2.835684370823664,-0.44864366922470617,-2.5231851838571964,-0.5951511522348805,-2.374127004904154,-0.456931928014042,-2.1586748590450657,-0.0,-0.4615573659195098,0.01404593441625995,-0.4174943784205136
2100,-0.5961605169482562,-2.8604191995733603,-0.43937493860655624,-2.514707979223588,-0.5961605169482562,-2.3920670764635297,-0.4477101270092968,-2.1458626050158136,-0.0,-0.4683521231098306,0.013966578361048,-0.422660891358159
